id,frame,q,a
1,74,폭탄 본 적 있어요,1
2,77,화장실 어딨어요?,2
3,97,지금 몇 년도인지 알아요?,3
4,66,뚱뚱해요?,4
5,36,머리 어디서 잘라요?,5
6,38,얼마 가지고 있어요?,6
7,52,엄마 안 보고 싶어요?,7
8,35,TV에 손자 나오는 거 봤어요?,8
9,28,라디오 좋아해요?,9
10,25,신문 자주 봐요?,10
11,25,산타할아버지 있어요?,11
12,83,귀신 본 적 있어요?,12
13,70,셀카 찍을 줄 알아요?,13
14,54,고향에 가고 싶지 않아요?,14
15,43,외계인이 실제로 있어요?,15
16,43,어떻게 하면 똑똑해져요?,16
17,40,학교 가기 싫어요,17
18,31,공부하는 게 왜 좋아요?,18
19,33,돈이 많아야 행복해요?,19
20,33,강해지고 싶어요,20
21,39,외국에 가보고 싶어요,21
22,32,영화 '대장 김창수' 봤어요?,22
23,25,총 안 무서워요?,23
24,40,죽을까봐 겁나지 않았어요?,24
25,40,집에 가기 싫어요,25
26,34,가족이랑 같이 왔어요,26
27,36,다시 보고 싶으면 어떻게 해요?,27
28,32,마음대로 걸을 수 있어요?,28
29,36,몇 시까지 여기 있어요?,29
30,54,밤에 무섭지 않아요?,30
31,32,힘 세지고 싶어요,31
32,20,어떻게 하면 용기가 생겨요?,32
33,23,환경오염이 심해요,33
34,75,건강해지고 싶어요,34
35,40,약속은 꼭 지켜야 하나요?,35
36,25,스마트폰 갖고 싶어요,36
37,43,아무말이나 해보세요,37
38,30,장난꾸러기예요?,38
39,36,고문 당할 때 아파요?,39
40,35,옛날 옷은 안 추워요?,40
41,36,아는 아이돌 있어요?,41
42,58,AI 보면 어때요?,42
43,27,효창공원에 간 적 있어요,43
44,59,지금 살아있어요?,44
45,39,먹방 좋아해요?,45
46,33,요즘 말 하나도 몰라요?,46
47,48,어떤 생각하고 있어요?,47
48,36,받고 싶은 선물 있어요?,48
49,48,아플 때 어떻게 해요?,49
50,30,이순신 장군 알아요?,50
51,36,고양이 좋아해요?,51
52,26,비행기 타 본적 있어요?,52
53,36,해방이 안됐으면 어땠을까요?,53
54,38,2002년 월드컵 알아요?,54
55,33,한국에 태어나서 좋아요?,55
56,35,지금 몇 시에요?,56
57,28,에디슨보다 나이 많아요?,57
58,33,제일 좋아하는 꽃이 뭐에요?,58
59,39,태극기 어떻게 그려요?,59
60,37,액체괴물 해본 적 있어요?,60
61,40,힘들 땐 어떻게 해야돼요?,61
62,40,춤 잘 추고 싶어요,62
63,50,연예인이 되고 싶어요,63
64,30,저금을 해야 되나요?,64
65,50,어릴 때 꿈이 뭐였어요?,65
66,60,많이 고생 하셨죠?,66
67,29,3월 1일에 뭐하세요?,67
68,36,독도는 우리나라 땅이죠?,68
69,45,커피 좋아해요?,69
70,45,가위바위보 잘해요?,70
71,58,달리기 잘하고 싶어요,71
72,42,왜 저랑 말투가 달라요?,72
73,35,채소 안 먹으면 안돼요?,73
74,48,옛날엔 수염을 길러야 했나요?,74
75,31,갓은 왜 쓰고 다니는 거예요?,75
76,40,저도 비슷한 안경 썼어요,76
77,40,소원 들어주세요,77
78,43,앞이 잘 보여요?,78
79,50,저랑 게임해요,79
80,29,끝말잇기 할 줄 알아요?,80
81,47,감기 걸렸어요,81
82,35,제 머리 예뻐요?,82
83,31,천재예요?,83
84,35,좋은 사람이에요?,84
85,31,전화번호 알려주세요,85
86,26,편지써도 돼요?,86
87,35,저 몇 학년인 것 같아요?,87
88,35,저랑 친하게 지내요,88
89,38,화장실 가고 싶어요,89
90,40,지금 날씨가 어때요?,90
91,41,목말라요,91
92,29,만져볼 수 있어요?,92
93,40,같이 사진 찍어도 돼요?,93
94,65,맛있는 음식 추천해주세요,94
95,60,자주가던 맛집 있어요?,95
96,33,뜨거운 음식 잘 먹어요?,96
97,34,새로운 친구는 어떻게 사귀어요?,97
98,35,비밀 말해줄까요?,98
99,37,무서운 얘기 알아요?,99
100,32,선생님처럼 되고 싶어요,100
101,38,선생님은 부자세요?,101
102,26,스마트폰 있어요?,102
103,27,컴퓨터 알아요?,103
104,43,북한 가봤어요?,104
105,24,김정은 알아요?,105
106,31,사투리 써요?,106
107,30,감옥 가봤어요?,107
108,24,몇 살이세요?,108
109,32,영화 밀정 봤어요?,109
110,32,이완용 알아요?,110
111,22,친일파 싫어요,111
112,26,공부 잘해야 하나요?,112
113,26,제 이름 알아요?,113
114,28,지금 몇 시예요?,114
115,40,왜 동그란 안경을 썼어요?,115
116,40,진짜 목소리예요?,116
117,25,최고예요,117
118,43,TV 본 적 있어요?,118
119,33,뉴스에 나왔어요?,119
120,45,다음에 만날 수 있나요?,120
121,38,배고파요,121
122,28,내일 뭐하세요?,122
123,39,광복절이에요,123
124,52,임시정부 수립일이에요,124
125,40,어린이 좋아해요?,125
126,32,친구랑 화해하고 싶어요,126
127,38,제가 입은 옷 어때요?,127
128,39,저 이제 갈게요,128
129,29,고민이 있어요,129
130,40,너무 재미있어요,130
131,45,좋은 아침이에요,131
132,40,저랑 놀아주세요,132
133,43,오늘 제 생일이에요,133
134,28,저 심심해요,134
135,27,햄버거 좋아해요?,135
136,45,애국가 부를 줄 알아요?,136
137,32,왜 통일이 되어야해요?,137
138,21,전쟁이 다시 일어날까요?,138
139,32,공부하기 싫어요,139
140,33,밖에서 놀고 싶어요,140
141,33,옛날엔 전염병 없었어요?,141
142,36,감옥은 어떤 곳이에요?,142
143,29,일본군 안 무서웠어요?,143
144,34,친일파는 돈 많아요?,144
145,29,저도 독립운동하고 싶어요,145
146,34,어떻게 하면 애국자가 될까요?,146
147,30,독립유공자는 가난해요?,147
148,30,독립운동가는 어떤 사람들이에요?,148
149,47,통일이 되면 지금보다 좋을까요?,149
150,28,지금 무슨 표정이에요?,150
151,33,행복하고 싶어요,151
152,83,훌륭한 사람이 되고 싶어요,152
153,39,잠이 안와요,153
154,26,좋아하는 동물 있어요?,154
155,35,점심 메뉴 추천해주세요,155
156,38,어떤 사람이 돼야 하나요,156
157,37,밥 많이 먹고 싶어요,157
158,31,입맛이 없어요,158
159,43,키가 크고 싶어요,159
160,25,머리 자를까요?,160
161,34,동생이 괴롭혀요,161
162,30,장난감 사고 싶어요,162
163,35,부자가 되고 싶어요,163
164,30,귀신이 무서워요,164
165,40,친구가 없어요,165
166,34,친구가 놀려요,166
167,34,노래 잘 하고 싶어요,167
168,28,꿈을 이루고 싶어요,168
169,32,혼자 있고 싶어요,169
170,25,잠자는게 너무 좋아요,170
171,40,어떤 사람을 좋아해요?,171
172,32,어떤 사람이 나쁜 거예요?,172
173,30,거짓말은 나쁜 거예요?,173
174,27,욕하면 안돼요?,174
175,37,무서운 꿈 꿨어요,175
176,43,방정환 알아요?,176
177,32,지폐에 얼굴 나와요?,177
178,45,어느 나라 사람이에요?,178
179,35,불편하지 않아요?,179
180,45,옷 사고 싶어요,180
181,27,갖고 싶은게 많아요,181
182,22,싫은 사람은 어떻게 해요?,182
183,27,좋아하는 사람이 있어요,183
184,40,숙제가 너무 많아요,184
185,40,장래희망이 없어요,185
186,31,공부 잘하는 방법 알려주세요,186
187,32,때리는 건 나쁜 건가요?,187
188,29,잘못을 용서 받고 싶어요,188
189,43,밤되면 무서워요,189
190,35,동생이 있었으면 좋겠어요,190
191,31,오래 살고 싶어요,191
192,24,치과가 무서워요,192
193,26,벌레가 무서워요,193
194,31,김치 잘 먹어요?,194
195,24,매운거 좋아해요?,195
196,28,예전으로 돌아가고 싶어요?,196
197,30,몇 살 때가 제일 좋았어요?,197
198,31,주사가 무서워요,198
199,55,무서워 하는 게 있어요?,199
200,43,안경 어디서 샀어요?,200
201,35,안녕하세요,201
202,32,뭐하고 계세요?,202
203,34,식사 하셨어요?,203
204,30,심심하지 않으세요?,204
205,25,어디계세요?,205
206,33,책 좋아하세요?,206
207,38,저 몇 살인 것 같아요?,207
208,27,재밌는 얘기해주세요,208
209,30,키가 몇 이에요?,209
210,40,기분이 어때요?,210
211,25,움직일 수 있어요?,211
212,26,제일 친한 사람이 누구예요?,212
213,21,친구 많아요?,213
214,24,아프지 않아요?,214
215,35,제 목소리 들려요?,215
216,29,혼자 있어요?,216
217,29,어디 살아요?,217
218,35,가족 있어요?,218
219,33,영어 할 줄 알아요?,219
220,35,신기해요,220
221,25,좋아하는 노래 있어요?,221
222,46,글씨 잘 쓰죠?,222
223,23,화난 적 있어요?,223
224,30,어떤 성격이에요?,224
225,33,멋있어요,225
226,25,보고 싶어요,226
227,28,지금 많이 바쁘세요?,227
228,28,사진으로 봤어요,228
229,28,운 적 있어요?,229
230,23,힘세요?,230
231,21,싸운 적 있어요?,231
232,22,안경 좋아해요?,232
233,30,좋아하는 색 있어요?,233
234,24,시력이 안좋은가요?,234
235,35,어디서 말하는 거예요?,235
236,47,가족들 보고 싶어요?,236
237,22,노래 불러주세요,237
238,42,뭐하고 놀아요?,238
239,42,몇 시에 일어나요?,239
240,34,무슨 꿈 꿨어요?,240
241,28,운동 좋아해요?,241
242,33,저 어떻게 생겼어요?,242
243,34,오늘 뭐할거예요?,243
244,31,취미가 뭐예요?,244
245,30,언제 주무세요?,245
246,24,악수 할 수 있어요?,246
248,30,외국어 할 줄 알아요?,248
249,25,외국 가봤어요?,249
250,25,보고 싶은 사람 있어요?,250
251,30,저 기억해주세요,251
252,24,공부 잘했어요?,252
253,35,BTS 알아요?,253
254,26,좋아하는 연예인 있어요?,254
255,35,술 좋아하세요?,255
256,31,코로나 알아요?,256
257,30,마스크 쓰고 있어요?,257
258,28,후회한 적 없어요?,258
259,37,제일 아쉬운 일 있나요?,259
260,24,졸리지 않아요?,260
261,33,일본말도 할 줄 알아요?,261
262,22,어떤 음식 좋아해요?,262
263,35,중국 음식 좋아해요?,263
264,35,행복하세요?,264
265,26,어릴 때 어땠어요?,265
266,34,BTS 수상소감 알아요?,266
267,35,이름이 여러개예요?,267
268,30,백범은 무슨 뜻이에요?,268
269,36,오늘 날씨 어때요?,269
270,33,혼자 있을 때 뭐해요?,270
271,35,웃음 소리 듣고 싶어요,271
272,33,게임이 뭔지 아세요?,272
273,37,어떤 게임 좋아해요?,273
274,20,유관순 열사 알아요?,274
275,40,대통령이었어요?,275
276,33,언제 통일돼요?,276
277,26,안녕히계세요,277
278,32,죄송합니다,278
279,31,어떻게 말해요?,279
280,40,좋아하는 장소 있어요?,280
281,33,날씨가 너무 추워요,281
282,24,날씨가 너무 더워요,282
283,28,비가 너무 많이 와요,283
284,29,오랜만에 또 왔어요,284
285,21,잘 지내고 계셨어요?,285
286,31,외롭지 않으세요?,286
287,23,힘들지 않으세요?,287
288,27,필요한 거 없어요?,288
289,22,선물 주세요,289
290,22,감사합니다,290
291,23,눈물이 나요,291
292,26,대한독립만세,292
293,25,붉은 악마 알아요?,293
294,20,축구 좋아해요?,294
295,25,아는 축구선수 있어요?,295
296,41,마음이 아파요,296
297,27,안중근 의사 알아요?,297
298,24,소원이 뭐예요?,298
299,24,살 빼고 싶어요,299
300,24,외국어 잘 하고 싶어요,300
301,26,태어난 곳은 어디인가요?,301
302,24,태어난 날짜가 언제인가요?,302
303,27,사망한 날짜는 언제 인가요?,303
304,40,몇 세까지 사셨나요?,304
305,27,본관은 어떻게 되나요?,305
306,25,어떤 '호'를 썼나요?,306
307,25,백범이라는 호는 무슨 뜻인가요?,307
308,20,백범김구인 이유는 무엇인가요?,308
309,35,당시에 키는 몇이었나요?,309
310,20,믿고 있던 종교는 무엇이었나요?,310
311,25,가족관계가 어떻게 되나요?,311
312,35,원래 이름이 김구인가요?,312
313,25,아버지는 어떻게 돌아가셨나요?,313
314,25,어머니는 어떤 도움을 주셨나요?,314
315,25,어린 시절 어떤 성격이었나요?,315
316,25,공부를 시작하게 된 계기가 있나요?,316
317,21,어떤 신분을 갖고 있었나요?,317
318,22,언제 글 공부를 시작했나요?,318
319,29,어머니는 공부를 반대하지 않았나요?,319
320,51,청소년기에 어떤 환경에서 자랐나요?,320
321,28,어려운 환경에서 공부를 계속 했나요?,321
322,36,처음 부인과 어떻게 혼인하였나요?,322
323,26,두 번째 부인 최준례는 어떤 사람이었나요?,323
324,50,아버지는 어떻게 공부를 도왔나요?,324
325,25,과거시험은 몇 살때 처음 봤나요?,325
326,25,과거시험을 그만둔 계기는 무엇인가요?,326
327,23,과거시험을 그만두고 어떤 공부를 하였나요?,327
328,30,관상을 공부하며 어떤 생각을 하였나요?,328
