id,frame,q,a
1048,31,어디김씨인가요,1048
1049,29,고향은 어디인가요,1049
1050,29,어린시절의 이름은 무엇인가요,1050
1051,27,이름을 왜 계속 바꾸었나요,1051
1052,30,태몽은 무엇이었나요,1052
1053,30,어떻게 태어났나요,1053
1054,24,아버지 성함은 무엇인가요,1054
1055,20,아버지는 어떠한 분인신가요,1055
1056,29,어머니 성함은 무엇인가요,1056
1057,37,어머니는 어떠한 분이신가요,1057
1058,25,어린시절 소원은 무엇이었나요,1058
1059,30,공부를 열심히 하셨나요,1059
1060,30,어디서 공부를 하였나요,1060
1061,26,과거시험을 본 결과는 어떠했나요,1061
1062,23,어린시절 어떤 아이였나요,1062
1063,30,동학은 무엇인가요,1063
1064,24,많은 사람들이 동학을 믿었나요,1064
1065,28,당시 별명이 있었나요,1065
1066,30,동학을 믿으며 어떠한 일을 하였나요,1066
1067,30,당시 어떠한 분의 가르침을 받았나요,1067
1068,26,스승님을 만났을때 어떤 기분이었나요,1068
1069,30,당시 도움을 준 사람은 누구인가요,1069
1070,27,안중근의사의 어린시절은 어떠했나요,1070
1071,20,안중근의사에게 동생도 있었나요,1071
1072,24,청국에 간 이유는 무엇인가요,1072
1073,30,청국시찰은 혼자 떠났나요,1073
1074,20,치하포 의거는 무엇인가요,1074
1075,28,스치다가 일본군이 맞나요,1075
1076,30,어떻게 스치다가 일본군이라는 것을 알았나요,1076
1077,40,스치다와 싸울 때 무섭지 않았나요,1077
1078,27,스치다를 처단한 후에는 어떻게 했나요,1078
1079,35,치하포 의거 후 어떻게 되었나요,1079
1080,35,사형선고를 받았을때 기분이 어땠나요,1080
1081,30,사형선고 후 어떻게 된건가요,1081
1082,36,사형집행 중지의 소식을 듣고 어땠나요,1082
1083,27,안창호는 임시정부 수립에 어떤 역할을 하였나요,1083
1084,30,안창호의 상해 도착 당시 임시정부는 어떤 상태였나요,1084
1085,30,임시정부 내에서 안창호는 어떤 일을 하였나요,1085
1086,30,안공근이 임시정부로 향한 이유는 무엇인가요,1086
1087,30,안공근이 외교특사로 정해진 이유는 무엇인가요,1087
1088,35,연미당은 임시정부를 위해 어떤 일을 했나요,1088
1089,27,연미당이 임시정부 요원들을 위해 한 일은 무엇인가요,1089
1090,37,임시정부 내에서 이승만의 역할은 무엇이었나요,1090
1091,26,이승만이 탄핵 된 이유는 무엇인가요,1091
1092,30,임시정부 수립당시 김구의 역할은 무엇이었나요,1092
1093,25,신탁통치 반대운동은 무엇입니까,1093
1094,30,신탁통치 관련 보도 후 국민들의 반응은 어땠습니까,1094
1095,30,신탁통치 반대를 위해 어떤 일이 벌어졌나요,1095
1096,40,신탁통치에 대한 북한의 반응은 어땠나요,1096
1097,20,공산주의자들이 반탁에서 찬탁으로 돌아선 이유는 무엇인가요,1097
1098,25,신탁통치에 대한 남한의 입장은 어땠나요,1098
1099,24,반탁운동은 언제까지 진행되었나요,1099
1100,30,신탁통치 오보사건은 무엇인가요,1100
1101,30,신탁통치 오보사건에 대한 반응은 어땠나요,1101
1102,25,신탁통치 오보로 인해 어떤 인식이 생겨났나요,1102
1103,33,상해 임시정부는 몇 년도에 설립되었나요,1103
1104,26,임시정부가 설립된 목적 무엇인가요,1104
1105,23,국호를 정하는 회의에는 누가 참여했나요,1105
1106,26,임시정부는 어떤 활동을 하였나요,1106
1107,20,대한민국 임시정부가 설립된 위치는 어디인가요,1107
1108,26,임시정부 기념일이 변경된 이유는 무엇인가요,1108
1109,30,상해임시정부 이전의 정부는 없었나요,1109
1110,30,임시정부 수립 전 대한민국에 확립된 정신은 무엇입니까,1110
1111,26,임시정부 안에서 나뉜 파는 무엇이 있나요,1111
1112,30,임시정부의 나아갈 방향을 위해 열린 회의는 무엇인가요,1112
1113,29,윤봉길 의사와는 어떻게 만나게 되었나요,1113
1114,30,윤봉길은 독립운동을 준비 기간동안 무엇을 했나요,1114
1115,24,자신의 정체를 숨기기 위해 어떤 변화를 주었나요,1115
1116,20,대한독립을 위해 했던 대표적인 활약은 무엇이 있나요,1116
1117,25,폭탄 투척으로 체포된 후 어떤 판결을 받았나요,1117
1118,30,사형 집행 당시 윤봉길의 나이는 몇 세였나요,1118
1119,30,윤봉길 의사가 그와 시계를 바꾼 이유는 무엇인가요,1119
1120,30,훗날 유봉길 의사의 유해는 어디서 발견되었나요,1120
1121,30,윤봉길 의사의 묘지는 어디에 있나요,1121
1122,30,윤봉길 의사의 장례는 어떤 방식으로 치뤄졌나요,1122
1123,26,이봉창은 어떤 활동을 하신 분 인가요,1123
1124,30,이봉창이 일본천왕에게 수류탄을 던진 사건은 무엇인가요,1124
1125,40,이봉창과 마지막으로 사진을 찍을 때 무슨 이야기를 나눴습니까,1125
1126,20,이봉창은 임시정부를 어떻게 알게 되었습니까,1126
1127,23,이봉창을 처음 본 임시정부 관계자들의 반응은 어땠나요,1127
1128,30,임시정부에서 이봉창의 별명은 무엇이었나요,1128
1129,26,이봉창 주변에 일본 지인들이 많았나요,1129
1130,36,이봉창 의사의 폭탄 투척은 목적을 달성했나요,1130
1131,30,사쿠라다몬 사건에 대한 중국 반응은 어땠나요,1131
1132,25,이봉창의 사망은 언제였나요,1132
1133,30,나석주는 어떤 인물인가요,1133
1134,50,국가등록문화재로 등록된 나석주의 편지는 어떤 것입니까,1134
1135,30,나석주와 마지막 만남은 어떠했나요,1135
1136,26,나석주가 독립운동을 시작한 계기는 무엇인가요,1136
1137,24,독립운동 전 나석주는 무슨 일을 하였나요,1137
1138,30,3.1운동 당시 나석주는 어떤 활동을 하였나요,1138
1139,33,나석주의 유언은 무엇이었나요,1139
1140,30,나석주는 어떻게 사망하였나요,1140
1141,20,나석주는 몇 세의 나이로 사망하였나요,1141
1142,30,나석주의 순국 후 어떤 반응을 보였나요,1142
